Rice ,Staple Food. ,Vegetarian ,50
Dal ,Lentils. ,Vegetarian ,50
Bhaji ,Fried Vegetables. ,Vegetarian ,50
Sabji (curry) ,Different green or other vegetables. ,Vegetarian ,50
Masor tenga ,An Assamese fish stew cooked with any of a variety of sour fruits including tomatoes.+AFs-1+AF0- ,Vegetarian ,50
Tenga Doi ,Sour curd. ,Vegetarian ,50
Chhenagaja ,Dessert. Cottage cheese  flour  sugar syrup. ,Vegetarian ,50
Chhenapoda ,Dessert. Cottage cheese  flour  sugar syrup. ,Vegetarian ,50
Mishti Doi ,Dessert. Curd  sugar syrup and /or jaggery. ,Vegetarian ,50
Rosgulla ,Dessert. Cottage cheese  flour and sugar syrup. ,Vegetarian ,50
Machher Jhol ,Curry. Fish  various spices. ,Non+AC0-Vegetarian ,150
Pakhala ,Rice. Fermented rice  yoghurt  salt  seasonings. ,Vegetarian ,60
Chingri Machher Malai+AC0-Curry ,Curry. Prawn  coconut  mustard  steamed. ,Vegetarian ,30
Ilish or Chingri Bhape ,Curry. Ilish (Hilsha fish) or prawn  coconut  mustard  steamed. ,Vegetarian ,30
Shukto ,Curry. Vegetables  ghee  milk. ,Vegetarian ,40
Mishti Chholar Dal ,Curry. Bengal gram  coconut  sugar. ,Vegetarian ,50
Shondesh ,Dessert. Milk  sugar. ,Vegetarian ,50
Khorisa ,Pickle made from bamboo shoot. It is an Assamese specialty. ,Vegetarian ,20
Kharoli ,Pickle made from mustard. It is an Assamese specialty. ,Vegetarian ,20
Horioh Maas ,Golden Mustard Fish Curry. ,Vegetarian ,50
Bora Sawul ,Breakfast cereal. It is an Assamese specialty. Sticky rice  sugar or jaggery. ,Vegetarian ,50
Hando Guri ,Breakfast cereal. It is an Assamese specialty. ,Vegetarian ,50
Hurum ,Breakfast cereal. It is an Assamese specialty. ,Vegetarian ,50
Ceera Doi ,Breakfast cereal. ,Vegetarian ,50
Kumol Sawul ,Breakfast cereal. It is an Assamese specialty. Soft rice with cream +ACY- jaggery. ,Vegetarian ,50
Dhup Pitha ,Sweet Assamese specialty. ,Vegetarian ,50
Gheela Pitha ,Sweet Assamese specialty. ,Vegetarian ,50
Til Pitha ,Sweet Assamese specialty. Rice powder  til  jaggery. ,Vegetarian ,50
Lai Haq Maas ,Fish Curry with herbs +ACY- lemon. ,Non+AC0-Vegetarian ,150
Maasor Tenga ,Tomato Fish Curry. ,Non+AC0-Vegetarian ,150
Koldil Chicken ,Chicken cooked with banana flower. It is an Assamese specialty. ,Vegetarian ,50
Payokh ,Desert. ,Vegetarian ,50
Lusi ,Oily bread made from maida. ,Vegetarian ,50
Malpua ,Snacks. ,Vegetarian ,30
Momo ,Snacks. It is a Sikkim specialty. ,Vegetarian ,50
Loskora (Coconut Laddu) ,Sweet ,Vegetarian ,50
Muri Laru ,Sweet Bengali specialty. ,Vegetarian ,50
Pani Tenga ,Pickle made from mustard. ,Vegetarian ,20
Sunga Pitha ,Sweet Assamese specialty. ,Vegetarian ,50
Khar ,Assamese specialty side dish. Papaya  banana  soda. ,Vegetarian ,50
Koldil Duck ,Duck meat cooked with banana flower. It is an Assamese specialty. ,Non+AC0-Vegetarian ,150
Goja ,Sweet ,Vegetarian ,50
Peda ,Sweet ,Vegetarian ,50
Brown Rice ,Special local variety of rice. ,Vegetarian ,50
Black Rice ,Special local variety of rice. ,Vegetarian ,80
Red Rice ,Special local variety of rice. ,Vegetarian ,80
Pani Pitha ,Sweet Assamese specialty. ,Vegetarian ,50
Bengena Pitika ,Dish made of mashed brinjal. ,Vegetarian ,60
Alu Pitika ,Dish made of mashed potato. ,Vegetarian ,60
Sunga Pork ,Rich spicy pork curry. ,Non+AC0-Vegetarian ,100
Masor Petu ,Fish delicasy. ,Non+AC0-Vegetarian ,50
Masor Koni ,Fish delicasy. ,Non+AC0-Vegetarian ,150
Konir Dom ,Egg curry. ,Vegetarian ,50
Haq Maas ,Fish curry cooked with leafy green vegetables. ,Non+AC0-Vegetarian ,150
Ou tenga Maas ,Fish curry cooked with elephant apple. ,Non+AC0-Vegetarian ,50
Bilahi Maas ,Fish curry cooked with tomatoes. ,Non+AC0-Vegetarian ,150
Prawn malai curry ,Curry. Prawns  coconut cream  crushed mustard seed  red chillies. ,Vegetarian ,50
Pantua ,Assamese sweet similar to Gulab Jamun. ,Vegetarian ,50
